Kanun Teklifi Sayısı;Genel Görüşme Önergesi Sayısı;İsim;Parti;Soru Önergesi Sayısı;Araştırma Önergesi Sayısı;Genel Kurul Konuşma Sayısı
31;0;Mustafa ARSLAN;AK Parti;0;4;11
29;0;Ahmet SORGUN;AK Parti;0;7;11
29;0;Abdullah DOĞRU;AK Parti;0;2;11
13;2;Hasan BALTACI;CHP;239;279;72
25;6;Ulaş KARASU;CHP;72;629;70
8;0;Tamer OSMANAĞAOĞLU;MHP;254;169;65
7;6;Metin İLHAN;CHP;136;285;69
27;0;Yücel MENEKŞE;AK Parti;0;6;11
24;0;Salim ÇİVİTCİOĞLU;AK Parti;0;5;11
9;4;Ali KEVEN;CHP;136;274;68
43;12;Veli AĞBABA;CHP;229;1554;67
15;0;Nazır Cihangir İSLAM;CHP;41;95;66
8;3;Murat ÇEPNİ;HDP;193;525;184
20;0;İffet POLAT;AK Parti;0;6;11
32;1;Serpil KEMALBAY PEKGÖZEGÜ;HDP;184;653;161
12;0;Emine Gülizar EMECAN;CHP;38;163;65
30;6;Ali Mahir BAŞARIR;CHP;266;574;63
18;0;Pakize Mutlu AYDEMİR;AK Parti;0;8;11
9;0;Hasan KALYONCU;MHP;81;178;36
9;1;Aysu BANKOĞLU;CHP;57;265;63
15;0;Fuat KÖKTAŞ;AK Parti;0;6;11
7;2;Yıldırım KAYA;CHP;172;288;62
17;4;Dursun Müsavat DERVİŞOĞLU;İYİ Parti;80;134;235
15;0;Bülent TÜFENKCİ;AK Parti;0;5;11
34;3;Gülizar BİÇER KARACA;CHP;256;439;61
12;0;Mehmet Cihat SEZAL;AK Parti;0;5;11
2;1;Aytun ÇIRAY;İYİ Parti;73;150;27
11;0;Emine Sare AYDIN;AK Parti;0;3;11
7;0;Ahmet YILDIZ;AK Parti;0;5;11
5;2;Bekir BAŞEVİRGEN;CHP;134;237;59
15;6;Neslihan HANCIOĞLU;CHP;52;438;59
13;9;Türabi KAYAN;CHP;113;1159;58
9;3;Zeynel ÖZEN;HDP;80;427;60
4;6;Faruk SARIASLAN;CHP;91;437;58
56;0;Murat EMİR;CHP;389;149;55
5;1;Züleyha GÜLÜM;HDP;218;644;103
4;0;Yavuz AĞIRALİOĞLU;İYİ Parti;12;153;143
12;3;Tekin BİNGÖL;CHP;180;478;55
6;0;Fahri ÇAKIR;AK Parti;0;2;11
2;1;Ümit ÖZDAĞ;ZAFER P;43;88;29
45;0;Zehra TAŞKESENLİOĞLU BAN;AK Parti;0;3;10
44;0;Yusuf BAŞER;AK Parti;0;6;10
28;0;Yasin UĞUR;AK Parti;0;4;10
1;1;Ümit BEYAZ;İYİ Parti;106;256;34
13;3;Burak ERBAY;CHP;74;351;55
25;0;Semra KAPLAN KIVIRCIK;AK Parti;0;5;10
23;0;Ceyda ÇETİN ERENLER;AK Parti;0;5;10
12;2;Mehmet GÖKER;CHP;167;668;54
23;0;Hacı Bayram TÜRKOĞLU;AK Parti;0;5;10
17;0;Nevzat CEYLAN;AK Parti;0;5;10
16;0;Mehmet Habib SOLUK;AK Parti;0;4;10
16;3;Deniz YAVUZYILMAZ;CHP;324;657;52
16;0;Öznur ÇALIK;AK Parti;0;2;10
33;1;Saliha Sera KADIGİL SÜTLÜ;TİP;226;338;41
16;0;Ahmet Salih DAL;AK Parti;0;1;10
7;1;Oya ERSOY;HDP;289;657;89
6;4;Bedri SERTER;CHP;762;396;51
15;0;Vildan YILMAZ GÜREL;AK Parti;0;3;10
4;4;Baha ÜNLÜ;CHP;17;580;51
12;0;Şahin TİN;AK Parti;0;4;10
1;0;Mustafa YENEROĞLU;DEVA;66;1;13
12;0;Oğuzhan KAYA;AK Parti;0;7;10
9;0;Nevzat ŞATIROĞLU;AK Parti;0;6;10
1;1;Musa PİROĞLU;HDP;20;296;38
3;0;Memet Bülent KARATAŞ;MHP;8;99;16
8;0;Yusuf BEYAZIT;AK Parti;0;4;10
11;2;Hüseyin YILDIZ;CHP;6;819;51
13;3;Cavit ARI;CHP;125;349;50
25;3;Rafet ZEYBEK;CHP;251;304;49
8;0;İzzet Ulvi YÖNTER;MHP;1;28;14
0;0;Pervin BULDAN;HDP;0;0;6
12;0;İsmail Faruk AKSU;MHP;0;40;29
12;4;Ahmet Vehbi BAKIRLIOĞLU;CHP;97;311;49
3;0;Cumhur ÜNAL;AK Parti;0;1;10
1;0;Cengiz AYDOĞDU;AK Parti;0;4;10
5;0;Ahmet Ünal ÇEVİKÖZ;CHP;35;13;49
10;2;Ahmet ÖNAL;CHP;65;312;48
0;0;Fikri IŞIK;AK Parti;0;1;10
25;3;Tahsin TARHAN;CHP;184;765;47
2;0;Hüda KAYA;HDP;50;104;58
2;0;Hayati ARKAZ;MHP;0;130;101
2;0;Hayrettin NUHOĞLU;İYİ Parti;34;388;142
42;0;Metin YAVUZ;AK Parti;0;4;9
15;0;Mustafa SAVAŞ;AK Parti;0;3;9
12;0;Niyazi GÜNEŞ;AK Parti;0;1;9
9;5;Vecdi GÜNDOĞDU;CHP;110;742;45
11;1;Mehmet BEKAROĞLU;CHP;106;204;45
2;0;Feti YILDIZ;MHP;0;45;12
5;1;Gökan ZEYBEK;CHP;45;228;43
11;0;Ahmet Hamdi ÇAMLI;AK Parti;0;2;9
27;7;Gamze TAŞCIER;CHP;103;926;41
0;0;Fatih Mehmet ŞEKER;BAĞIMSIZ;8;1;2
10;0;Halis DALKILIÇ;AK Parti;0;4;9
9;0;Mustafa YEL;AK Parti;0;2;9
11;14;Hakkı Saruhan OLUÇ;HDP;17;207;530
14;4;Jale Nur SÜLLÜ;CHP;85;244;41
5;0;Hulusi ŞENTÜRK;AK Parti;0;5;9
7;1;Erol KATIRCIOĞLU;HDP;35;418;133
35;0;İsmail BİLEN;AK Parti;0;7;8
35;0;Ali ŞAHİN;AK Parti;0;3;8
23;3;Necati TIĞLI;CHP;246;507;40
4;0;Erkan BAŞ;TİP;10;0;66
6;3;İsmet TOKDEMİR;CHP;86;133;39
2;0;Edip Semih YALÇIN;MHP;2;10;2
20;0;Zeynel EMRE;CHP;21;112;39
0;0;Celal ADAN;MHP;0;0;94
1;0;Cemal ÇETİN;MHP;0;120;10
105;0;Murat BAKAN;CHP;747;502;37
32;0;Selim YAĞCI;AK Parti;0;4;8
29;0;Çiğdem KONCAGÜL;AK Parti;0;7;8
9;3;Dilşat CANBAZ KAYA;HDP;381;451;23
30;0;Arzu ERDEM;MHP;85;93;97
21;0;Sermin BALIK;AK Parti;0;8;8
20;0;Recep UNCUOĞLU;AK Parti;0;3;8
19;0;Hamdi UÇAR;AK Parti;0;3;8
16;4;Çetin Osman BUDAK;CHP;119;171;37
16;0;Sabri ÖZTÜRK;AK Parti;0;4;8
15;0;Adnan GÜNNAR;AK Parti;0;6;8
5;1;Bülent KUŞOĞLU;CHP;7;28;37
2;0;Ahmet ŞIK;TİP;7;247;15
7;3;Ali KENANOĞLU;HDP;265;555;172
4;0;Abdul Ahat ANDİCAN;İYİ Parti;4;218;19
2;0;Ahmet ÇELİK;İYİ Parti;41;229;2
15;0;Ahmet AYDIN;AK Parti;0;6;8
14;0;Osman Nuri GÜLAÇAR;AK Parti;0;4;8
13;0;Arzu AYDIN;AK Parti;0;2;8
13;0;Muhammed Fatih TOPRAK;AK Parti;0;7;8
11;0;İrfan KARTAL;AK Parti;0;5;8
4;0;Yaşar KARADAĞ;MHP;9;130;63
3;0;Aylin CESUR;İYİ Parti;261;324;127
28;1;Kamil Okyay SINDIR;CHP;223;440;36
15;3;Habip EKSİK;HDP;130;599;77
4;0;Lütfi KAŞIKÇI;MHP;57;135;43
11;0;Metin ÇELİK;AK Parti;0;4;8
20;6;Atila SERTEL;CHP;463;744;35
15;3;Özgür KARABAT;CHP;140;389;34
5;0;Yunus EMRE;CHP;132;343;34
10;0;Abdulahat ARVAS;AK Parti;0;6;8
10;0;Hakan ÇAVUŞOĞLU;AK Parti;0;5;8
7;0;Osman BOYRAZ;AK Parti;0;5;8
7;0;Veysel EROĞLU;AK Parti;0;3;8
6;0;Recep ŞEKER;AK Parti;0;8;8
6;0;Mihrimah Belma SATIR;AK Parti;0;2;8
2;0;Barış Atay MENGÜLLÜOĞLU;TİP;17;0;19
5;0;Ahmet DEMİRCAN;AK Parti;0;7;8
20;0;Necip NASIR;AK Parti;2;4;7
5;3;Sait DEDE;HDP;205;777;31
5;0;Sermet ATAY;MHP;3;105;28
30;0;Ahmet ZENBİLCİ;AK Parti;0;6;7
19;0;Kadir AYDIN;AK Parti;0;5;7
9;4;Onursal ADIGÜZEL;CHP;58;588;34
18;0;Müslüm YÜKSEL;AK Parti;0;4;7
15;0;Erol KAYA;AK Parti;0;4;7
14;0;Emine ZEYBEK;AK Parti;0;6;7
3;0;İmam Hüseyin FİLİZ;İYİ Parti;20;389;236
10;0;İbrahim Halil FIRAT;AK Parti;0;10;7
3;1;Mahmut TOĞRUL;HDP;107;524;112
9;0;Metin BULUT;AK Parti;0;1;7
25;3;Suat ÖZCAN;CHP;151;196;33
7;0;Ali Muhittin TAŞDOĞAN;MHP;56;151;103
6;0;Leyla ŞAHİN USTA;AK Parti;0;1;7
46;3;Ali Haydar HAKVERDİ;CHP;86;710;32
6;0;Mehmet Mehdi EKER;AK Parti;0;3;7
5;0;Müşerref Pervin Tuba DURGUT;AK Parti;0;4;7
3;0;Polat TÜRKMEN;AK Parti;0;3;7
5;0;Bülent TEZCAN;CHP;20;41;32
2;0;Metin Nurullah SAZAK;MHP;64;183;15
6;1;Abdüllatif ŞENER;CHP;29;91;31
2;0;Mehmet Kasım GÜLPINAR;AK Parti;0;3;7
2;0;Emine Nur GÜNAY;AK Parti;0;4;7
2;0;Ertunç Erkan BALTA;AK Parti;0;1;7
28;0;Arslan KABUKCUOĞLU;İYİ Parti;630;403;162
